001;Account
0Pk;ChannelProgram
0Pl;ChannelProgramLevel
0Pm;ChannelProgramMember
0Pp;EinsteinApplication
0Pq;PredictionConfig
0Pr;PredictionField
0Ps;PushBackDefinition
0Pt;PackageVersionInstallRequestError
0Pu;PackageVersionUninstallRequestError
0Pv;BigObjectsRecordMetrics
0Px;DatasetExport
0Py;DatasetExportPart
0Pz;EventTypeDefinition
0Q0;Quote Doc
0Q1;OutgoingEmail
0Q3;OutgoingEmailRelation
0Q5;UserMetrics
0Q7;DirectMessageMemberActivity
0QJ;FeedSignal
0QK;PinnedEntity
0QM;EinsteinAppAnalytics
0QO;FTestGenInterface
0QP;FTestGenBodyInterface
0QT;MetadataContainerMemberWithSymbolTable
0QU;ShareInterface
0QV;MultiCurrency
0QY;MetadataContainerMemberWithBody
0QZ;Auditable
0Qb;EntityEventInterface
0Qc;ActionQuickCreate
0Qd;DataExportEventInterface
0Qg;TransactionSecurityEventInterface
0Qi;SoftDeletable
0Qj;RecordUserAccessInterface
0Qk;UserNavItem
0Qn;ScorecardAssociation
0Qo;ExternalCredential
0Qp;SandOmBulkExport
0Qt;VerificationHistory
0Qy;SecureAgentsCluster
0Qz;Nameable
0QD;QuoteDocument
0QL;QuoteLineItem
0QR;QuoteTemplateRichTextData
0R0;UserTerritory2Association
0R1;UserServicePresence
0R2;UiPlugin
0R8;PartnerFundAllocation
0RA;ActivityRelation
0RB;PartnerFundClaim
0RC;CollaborationGroupRank
0RD;RecommendationDefinition
0RE;EventRelation
0RH;SandOmExportedBlob
0RJ;PartnerFundRequest
0RL;FlowCategory
0RM;BigObjectCounter
0RT;TaskRelation
0RX;LightningBolt
0RY;CustomSettingNameIndex
0RZ;PlinyPhysicalDeleteJob
0Rb;LightningComponentBundle
0Rd;LightningComponentResource
0Rf;LinkedInLeadGenToken
0Rg;InteractionLCMetrics
0Rh;TopicDataCategoryRule
0Ri;LinkedInLeadGenConfig
0Rl;FlowCategoryItem
0Rp;LinkedInLeadGenAdAccount
0Rr;LightningBoltItem
0Rt;FolderClosure
0Ru;LightningBoltImage
0Rv;LightningBoltFeature
0Rx;PersonalizedUnswdQuestion
0S1;LightningExperienceTheme
0S2;S2XPushSubscription
0SE;ProfileSkillEndorsement
0SL;ServiceReportLayout
0SM;ProfileSkillUser
0SO;AuthProvider
0SP;SocialPersona
0SR;SignupRequest
0ST;SocialPost
0SU;AqtIncidentDetection
0SV;ReportInstanceCsvResult
0Sa;MetadataContainerMemberWithBinaryBody
0Sk;ProfileSkill
0Sn;ReturnOrderLineItem
0Sy;ActionOverrideMetrics
0T0;SetupFlowProgress
0T5;IndividualShare
0T6;EmailDomainFilter
0TH;ProdDbHammerRequest
0TI;TopicIndex
0TJ;EventTypeFieldDefinition
0TO;Topic
0TN;WaveAssetEvent
0TR;CloudConfiguration
0TS;ProductRequest
0TT;Trialforce Template
0TY;TopicOntology
0Tj;MetadataComponentDependency
0Ts;ValidationRuleInfo
0Tt;TopicTerm
0Tv;BaseSessionInterface
0Tw;ProductRequestLineItem
0U5;LightningUsageByPageMetrics
0UM;SsoUserMapping
0US;BotSessionsMetrics
0UT;TenantUsageEntitlement
0Ua;LbpmMetrics
0W0;WorkThanks
0W1;WorkBadgeDefinition
0W2;WorkBadge
0W3;WorkReward
0W4;WorkRewardFund
0W5;WorkAccess
0W7;WorkPerformanceCycle
